Crank angle,V,p,T,m
248.69999999999325,0.0006421494908969677,158673.89013881603,343.6884084267615,0.001032674951982818
248.79999999999325,0.000641586331972034,158868.49816626887,343.8081492512777,0.001032674951982818
248.89999999999324,0.0006410224566316665,159063.76242432563,343.92818526116156,0.001032674951982818
248.99999999999324,0.0006404578658515212,159259.68535112802,344.04851708765284,0.001032674951982818
249.09999999999323,0.0006398925606120542,159456.26939626934,344.169145363767,0.001032674951982818
249.19999999999322,0.0006393265418985293,159653.51702086002,344.2900707243098,0.001032674951982818
249.29999999999322,0.0006387598107010259,159851.4306975891,344.41129380588336,0.001032674951982818
249.3999999999932,0.0006381923680144487,160050.0129107807,344.5328152468807,0.001032674951982818
249.4999999999932,0.0006376242148385357,160249.26615645952,344.6546356874989,0.001032674951982818
249.5999999999932,0.0006370553521778662,160449.19294240858,344.77675576973445,0.001032674951982818
249.6999999999932,0.0006364857810418688,160649.795788239,344.8991761374033,0.001032674951982818
249.7999999999932,0.0006359155024448318,160851.0772254475,345.02189743613593,0.001032674951982818
249.89999999999318,0.0006353445174059086,161053.03979748438,345.1449203133909,0.001032674951982818
249.99999999999318,0.000634772826949129,161255.68605981057,345.2682454184469,0.001032674951982818
250.09999999999317,0.0006342004321034042,161459.0185799661,345.39187340241637,0.001032674951982818
250.19999999999317,0.0006336273339025372,161663.0399376376,345.51580491825774,0.001032674951982818
250.29999999999316,0.00063305353338523,161867.7527247142,345.6400406207615,0.001032674951982818
250.39999999999316,0.0006324790315950916,162073.15954536462,345.7645811665801,0.001032674951982818
250.49999999999315,0.0006319038295806462,162279.26301609454,345.8894272142162,0.001032674951982818
250.59999999999314,0.000631327928395341,162486.06576581064,346.01457942402305,0.001032674951982818
250.69999999999314,0.0006307513290975547,162693.57043589625,346.14003845822987,0.001032674951982818
250.79999999999313,0.0006301740327506037,162901.77968027425,346.2658049809378,0.001032674951982818
250.89999999999313,0.0006295960404227511,163110.69616547052,346.39187965811766,0.001032674951982818
